method,document_id,split,gold_mentions,predicted_spans,span_tp,span_fp,span_fn,per_percent,text_retention,ocr_token_count,latency_ms
Proposed multimodal mediation,30,valid,2,6,1,5,1,36.8,0.453,10,2042.5
Raw OCR text prompt,31,valid,1,0,0,0,1,100.0,1.000,7,276.7
OCR + regex masking,31,valid,1,3,0,3,1,100.0,0.538,7,276.7
OCR + generic de-identification,31,valid,1,3,0,3,1,100.0,0.538,7,276.7
OCR + Presidio receipt de-identification,31,valid,1,3,0,3,1,100.0,0.538,7,276.7
OCR + spaCy receipt de-identification,31,valid,1,6,1,5,0,0.0,0.308,7,276.7
Proposed multimodal mediation,31,valid,1,4,1,3,0,0.0,0.538,7,276.7
Raw OCR text prompt,32,valid,3,0,0,0,3,100.0,1.000,8,300.9
OCR + regex masking,32,valid,3,4,1,3,2,84.4,0.571,8,300.9
OCR + generic de-identification,32,valid,3,4,1,3,2,84.4,0.571,8,300.9
OCR + Presidio receipt de-identification,32,valid,3,4,1,3,2,84.4,0.571,8,300.9
OCR + spaCy receipt de-identification,32,valid,3,8,3,5,0,0.0,0.200,8,300.9
Proposed multimodal mediation,32,valid,3,6,3,3,0,0.0,0.571,8,300.9
Raw OCR text prompt,33,valid,2,0,0,0,2,100.0,1.000,12,277.8
OCR + regex masking,33,valid,2,7,0,7,2,100.0,0.356,12,277.8
OCR + generic de-identification,33,valid,2,8,1,7,1,58.5,0.356,12,277.8
OCR + Presidio receipt de-identification,33,valid,2,7,0,7,2,100.0,0.356,12,277.8
OCR + spaCy receipt de-identification,33,valid,2,11,2,9,0,0.0,0.233,12,277.8
Proposed multimodal mediation,33,valid,2,9,2,7,0,0.0,0.356,12,277.8
Raw OCR text prompt,34,valid,7,0,0,0,7,100.0,1.000,19,301.8
OCR + regex masking,34,valid,7,8,1,7,6,91.0,0.527,19,301.8
OCR + generic de-identification,34,valid,7,8,1,7,6,91.0,0.527,19,301.8
OCR + Presidio receipt de-identification,34,valid,7,8,1,7,6,91.0,0.527,19,301.8
OCR + spaCy receipt de-identification,34,valid,7,19,7,12,0,0.0,0.194,19,301.8
Proposed multimodal mediation,34,valid,7,16,6,10,1,5.1,0.301,19,301.8
Raw OCR text prompt,35,valid,4,0,0,0,4,100.0,1.000,16,2085.7
OCR + regex masking,35,valid,4,7,0,7,4,100.0,0.506,16,2085.7
OCR + generic de-identification,35,valid,4,7,0,7,4,100.0,0.506,16,2085.7
OCR + Presidio receipt de-identification,35,valid,4,8,0,8,4,100.0,0.438,16,2085.7
OCR + spaCy receipt de-identification,35,valid,4,16,4,12,0,0.0,0.169,16,2085.7
Proposed multimodal mediation,35,valid,4,14,4,10,0,0.0,0.281,16,2085.7
Raw OCR text prompt,36,valid,4,0,0,0,4,100.0,1.000,13,332.8
OCR + regex masking,36,valid,4,4,0,4,4,100.0,0.641,13,332.8
OCR + generic de-identification,36,valid,4,4,0,4,4,100.0,0.641,13,332.8
OCR + Presidio receipt de-identification,36,valid,4,4,0,4,4,100.0,0.641,13,332.8
OCR + spaCy receipt de-identification,36,valid,4,11,2,9,2,43.9,0.188,13,332.8
Proposed multimodal mediation,36,valid,4,6,1,5,3,63.4,0.578,13,332.8
Raw OCR text prompt,37,valid,2,0,0,0,2,100.0,1.000,12,612.0
OCR + regex masking,37,valid,2,6,0,6,2,100.0,0.578,12,612.0
OCR + generic de-identification,37,valid,2,6,0,6,2,100.0,0.578,12,612.0
OCR + Presidio receipt de-identification,37,valid,2,6,0,6,2,100.0,0.578,12,612.0
OCR + spaCy receipt de-identification,37,valid,2,11,2,9,0,0.0,0.265,12,612.0
Proposed multimodal mediation,37,valid,2,8,2,6,0,0.0,0.578,12,612.0
Raw OCR text prompt,38,valid,1,0,0,0,1,100.0,1.000,9,2126.2
OCR + regex masking,38,valid,1,3,0,3,1,100.0,0.636,9,2126.2
OCR + generic de-identification,38,valid,1,3,0,3,1,100.0,0.636,9,2126.2
OCR + Presidio receipt de-identification,38,valid,1,3,0,3,1,100.0,0.636,9,2126.2
OCR + spaCy receipt de-identification,38,valid,1,5,1,4,0,0.0,0.545,9,2126.2
Proposed multimodal mediation,38,valid,1,3,0,3,1,100.0,0.636,9,2126.2
Raw OCR text prompt,39,valid,5,0,0,0,5,100.0,1.000,24,2108.1
OCR + regex masking,39,valid,5,11,1,10,4,79.6,0.567,24,2108.1
OCR + generic de-identification,39,valid,5,12,2,10,3,48.1,0.567,24,2108.1
OCR + Presidio receipt de-identification,39,valid,5,12,2,10,3,48.1,0.567,24,2108.1
OCR + spaCy receipt de-identification,39,valid,5,17,4,13,1,7.4,0.418,24,2108.1
Proposed multimodal mediation,39,valid,5,13,2,11,3,48.1,0.545,24,2108.1
Raw OCR text prompt,40,valid,6,0,0,0,6,100.0,1.000,17,482.9
OCR + regex masking,40,valid,6,6,0,6,6,100.0,0.552,17,482.9
OCR + generic de-identification,40,valid,6,6,0,6,6,100.0,0.552,17,482.9
OCR + Presidio receipt de-identification,40,valid,6,6,0,6,6,100.0,0.552,17,482.9
OCR + spaCy receipt de-identification,40,valid,6,12,3,9,3,42.4,0.356,17,482.9
Proposed multimodal mediation,40,valid,6,9,3,6,3,45.5,0.552,17,482.9
Raw OCR text prompt,41,valid,14,0,0,0,14,100.0,1.000,35,803.4
OCR + regex masking,41,valid,14,13,1,12,13,93.9,0.517,35,803.4
OCR + generic de-identification,41,valid,14,15,3,12,11,82.3,0.517,35,803.4
