method,document_id,split,gold_mentions,predicted_spans,span_tp,span_fp,span_fn,per_percent,text_retention,ocr_token_count,latency_ms
Proposed multimodal mediation,33,test,9,15,3,12,6,45.7,0.333,25,1134.4
Raw OCR text prompt,34,test,9,0,0,0,9,100.0,1.000,24,1480.1
OCR + regex masking,34,test,9,5,4,1,5,59.3,0.965,24,1480.1
OCR + generic de-identification,34,test,9,12,5,7,4,25.4,0.550,24,1480.1
OCR + Presidio form de-identification,34,test,9,11,5,6,4,25.4,0.851,24,1480.1
OCR + spaCy form de-identification,34,test,9,11,5,6,4,25.4,0.851,24,1480.1
Proposed multimodal mediation,34,test,9,12,5,7,4,25.4,0.550,24,1480.1
Raw OCR text prompt,35,test,39,0,0,0,39,100.0,1.000,90,800.5
OCR + regex masking,35,test,39,2,0,2,39,100.0,0.980,90,800.5
OCR + generic de-identification,35,test,39,42,19,23,20,47.0,0.679,90,800.5
OCR + Presidio form de-identification,35,test,39,67,39,28,0,0.0,0.519,90,800.5
OCR + spaCy form de-identification,35,test,39,61,34,27,5,12.0,0.522,90,800.5
Proposed multimodal mediation,35,test,39,43,19,24,20,47.0,0.652,90,800.5
Raw OCR text prompt,36,test,5,0,0,0,5,100.0,1.000,17,634.4
OCR + regex masking,36,test,5,1,0,1,5,100.0,0.957,17,634.4
OCR + generic de-identification,36,test,5,6,2,4,3,46.8,0.553,17,634.4
OCR + Presidio form de-identification,36,test,5,8,4,4,1,8.3,0.553,17,634.4
OCR + spaCy form de-identification,36,test,5,12,4,8,1,8.3,0.293,17,634.4
Proposed multimodal mediation,36,test,5,7,3,4,2,34.9,0.553,17,634.4
Raw OCR text prompt,37,test,43,0,0,0,43,100.0,1.000,93,1291.5
OCR + regex masking,37,test,43,8,6,2,37,87.6,0.978,93,1291.5
OCR + generic de-identification,37,test,43,15,10,5,33,77.6,0.875,93,1291.5
OCR + Presidio form de-identification,37,test,43,38,23,15,20,26.7,0.690,93,1291.5
OCR + spaCy form de-identification,37,test,43,47,25,22,18,33.3,0.563,93,1291.5
Proposed multimodal mediation,37,test,43,45,22,23,21,62.4,0.560,93,1291.5
Raw OCR text prompt,38,test,9,0,0,0,9,100.0,1.000,22,1263.3
OCR + regex masking,38,test,9,2,1,1,8,99.0,0.964,22,1263.3
OCR + generic de-identification,38,test,9,8,3,5,6,55.2,0.632,22,1263.3
OCR + Presidio form de-identification,38,test,9,10,4,6,5,43.2,0.592,22,1263.3
OCR + spaCy form de-identification,38,test,9,11,4,7,5,52.1,0.493,22,1263.3
Proposed multimodal mediation,38,test,9,10,4,6,5,45.8,0.592,22,1263.3
Raw OCR text prompt,39,test,8,0,0,0,8,100.0,1.000,30,436.0
OCR + regex masking,39,test,8,4,3,1,5,66.1,0.975,30,436.0
OCR + generic de-identification,39,test,8,16,7,9,1,4.8,0.566,30,436.0
OCR + Presidio form de-identification,39,test,8,21,8,13,0,0.0,0.545,30,436.0
OCR + spaCy form de-identification,39,test,8,19,8,11,0,0.0,0.594,30,436.0
Proposed multimodal mediation,39,test,8,19,8,11,0,0.0,0.532,30,436.0
Raw OCR text prompt,40,test,12,0,0,0,12,100.0,1.000,67,2368.3
OCR + regex masking,40,test,12,3,0,3,12,100.0,0.977,67,2368.3
OCR + generic de-identification,40,test,12,20,4,16,8,52.6,0.672,67,2368.3
OCR + Presidio form de-identification,40,test,12,29,6,23,6,47.4,0.535,67,2368.3
OCR + spaCy form de-identification,40,test,12,43,7,36,5,30.8,0.309,67,2368.3
Proposed multimodal mediation,40,test,12,30,7,23,5,23.7,0.619,67,2368.3
Raw OCR text prompt,41,test,9,0,0,0,9,100.0,1.000,42,1617.3
OCR + regex masking,41,test,9,1,0,1,9,100.0,0.989,42,1617.3
OCR + generic de-identification,41,test,9,19,3,16,6,51.9,0.497,42,1617.3
OCR + Presidio form de-identification,41,test,9,21,5,16,4,23.4,0.417,42,1617.3
OCR + spaCy form de-identification,41,test,9,26,9,17,0,0.0,0.398,42,1617.3
Proposed multimodal mediation,41,test,9,22,3,19,6,51.9,0.466,42,1617.3
Raw OCR text prompt,42,test,17,0,0,0,17,100.0,1.000,30,1693.0
OCR + regex masking,42,test,17,2,0,2,17,100.0,0.932,30,1693.0
OCR + generic de-identification,42,test,17,12,8,4,9,57.9,0.766,30,1693.0
OCR + Presidio form de-identification,42,test,17,20,16,4,1,2.1,0.766,30,1693.0
OCR + spaCy form de-identification,42,test,17,20,13,7,4,22.3,0.390,30,1693.0
Proposed multimodal mediation,42,test,17,13,8,5,9,57.9,0.732,30,1693.0
Raw OCR text prompt,43,test,19,0,0,0,19,100.0,1.000,73,2261.3
OCR + regex masking,43,test,19,6,4,2,15,93.7,0.984,73,2261.3
OCR + generic de-identification,43,test,19,34,15,19,4,23.2,0.780,73,2261.3
OCR + Presidio form de-identification,43,test,19,43,17,26,2,3.8,0.702,73,2261.3
OCR + spaCy form de-identification,43,test,19,48,17,31,2,3.8,0.603,73,2261.3
Proposed multimodal mediation,43,test,19,44,17,27,2,19.5,0.694,73,2261.3
Raw OCR text prompt,44,test,28,0,0,0,28,100.0,1.000,88,3588.9
OCR + regex masking,44,test,28,3,2,1,26,97.6,0.995,88,3588.9
OCR + generic de-identification,44,test,28,41,10,31,18,64.6,0.447,88,3588.9
OCR + Presidio form de-identification,44,test,28,47,14,33,14,40.7,0.256,88,3588.9
OCR + spaCy form de-identification,44,test,28,52,17,35,11,44.5,0.348,88,3588.9
Proposed multimodal mediation,44,test,28,46,12,34,16,57.5,0.428,88,3588.9
Raw OCR text prompt,45,test,21,0,0,0,21,100.0,1.000,74,4274.6
OCR + regex masking,45,test,21,6,5,1,16,85.4,0.996,74,4274.6
OCR + generic de-identification,45,test,21,26,7,19,14,75.3,0.538,74,4274.6
OCR + Presidio form de-identification,45,test,21,51,19,32,2,13.6,0.303,74,4274.6
OCR + spaCy form de-identification,45,test,21,53,21,32,0,0.0,0.279,74,4274.6
